               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022966,            0.012796,           0.0086099,             0.92948,             0.92759,             0.96807,             0.81046,           0.0090911,           0.0045365,           0.0010843,             0.00769,             0.00769,             0.00769
                  37,            0.022094,            0.012539,           0.0080035,             0.91775,             0.93339,             0.96971,             0.81426,           0.0090749,           0.0044726,           0.0010331,            0.007624,            0.007624,            0.007624
                  38,            0.021725,            0.012563,           0.0079609,             0.93431,             0.93648,             0.97344,             0.81545,           0.0090672,           0.0044725,          0.00089251,            0.007558,            0.007558,            0.007558
                  39,            0.022533,            0.012323,           0.0078747,             0.93716,             0.93411,             0.97216,             0.82268,           0.0089022,           0.0043685,          0.00085169,            0.007492,            0.007492,            0.007492
                  40,            0.021895,             0.01242,           0.0081062,             0.93048,             0.93763,              0.9754,             0.82501,           0.0087204,           0.0043395,          0.00076409,            0.007426,            0.007426,            0.007426
                  41,              0.0222,            0.012459,           0.0075386,             0.92962,             0.94034,              0.9754,             0.81714,           0.0085774,           0.0044365,           0.0008656,             0.00736,             0.00736,             0.00736
                  42,            0.023221,            0.012443,           0.0082191,              0.9263,             0.93721,             0.96969,             0.82203,           0.0085318,           0.0043881,          0.00099906,            0.007294,            0.007294,            0.007294
                  43,            0.021902,            0.012406,           0.0076419,             0.93355,              0.9418,             0.97463,             0.83109,           0.0083982,           0.0043346,          0.00084953,            0.007228,            0.007228,            0.007228
                  44,            0.021539,            0.012273,           0.0081497,             0.93977,             0.93658,             0.97428,              0.8267,           0.0084668,           0.0043232,          0.00081205,            0.007162,            0.007162,            0.007162
                  45,            0.021338,            0.012287,           0.0078734,             0.93188,             0.94326,             0.97405,             0.82604,           0.0085618,           0.0043313,          0.00081176,            0.007096,            0.007096,            0.007096
                  46,            0.021448,            0.012096,           0.0078359,             0.93887,             0.93865,             0.97496,             0.83043,           0.0084662,           0.0042905,          0.00088779,             0.00703,             0.00703,             0.00703
                  47,            0.021044,            0.012226,           0.0071303,             0.94386,             0.94329,             0.97645,             0.83074,            0.008465,           0.0042982,          0.00071295,            0.006964,            0.006964,            0.006964
                  48,            0.021347,             0.01225,           0.0081808,             0.94839,             0.93907,             0.97612,              0.8288,           0.0084092,           0.0042729,           0.0007217,            0.006898,            0.006898,            0.006898
                  49,            0.020651,            0.012341,           0.0076073,             0.94244,             0.94612,             0.97688,              0.8401,           0.0083031,            0.004234,          0.00062706,            0.006832,            0.006832,            0.006832
                  50,            0.020108,            0.012148,           0.0070824,             0.94841,             0.94508,             0.97779,             0.83873,           0.0082136,           0.0042381,          0.00062329,            0.006766,            0.006766,            0.006766
                  51,            0.021541,             0.01224,            0.006939,             0.94058,             0.94787,             0.97711,              0.8403,           0.0082585,            0.004206,          0.00068955,              0.0067,              0.0067,              0.0067
                  52,            0.021379,            0.012127,           0.0072346,             0.94628,             0.95294,             0.97898,             0.84255,           0.0081407,           0.0041689,          0.00062515,            0.006634,            0.006634,            0.006634
                  53,             0.02001,            0.011923,           0.0071123,             0.94651,              0.9494,             0.97877,             0.84318,           0.0080312,           0.0041524,          0.00061844,            0.006568,            0.006568,            0.006568
                  54,            0.020696,            0.011977,           0.0073435,             0.94482,             0.95243,             0.98011,             0.84568,           0.0079719,            0.004108,          0.00063824,            0.006502,            0.006502,            0.006502
                  55,            0.020161,            0.011917,           0.0067257,             0.95126,             0.95086,             0.98045,             0.84483,           0.0079808,           0.0040881,           0.0005864,            0.006436,            0.006436,            0.006436
                  56,            0.021134,            0.012065,           0.0076507,              0.9555,             0.95151,              0.9823,             0.84618,           0.0080218,           0.0040659,          0.00056035,             0.00637,             0.00637,             0.00637
                  57,            0.020783,            0.011888,            0.006803,             0.95122,             0.95046,             0.98122,             0.84864,           0.0080128,           0.0040458,          0.00058442,            0.006304,            0.006304,            0.006304
                  58,            0.020743,            0.011963,           0.0065806,              0.9541,             0.94791,             0.98128,               0.851,           0.0078781,           0.0040485,          0.00057629,            0.006238,            0.006238,            0.006238
                  59,            0.021057,            0.011849,           0.0071252,             0.95293,             0.95238,             0.98129,             0.84986,           0.0078725,           0.0040476,          0.00057456,            0.006172,            0.006172,            0.006172
                  60,             0.02054,            0.011733,           0.0066002,             0.95229,             0.95198,             0.98073,             0.85126,           0.0079173,           0.0040351,           0.0005666,            0.006106,            0.006106,            0.006106
                  61,            0.020349,             0.01175,           0.0060249,             0.95721,             0.95068,             0.98186,             0.85434,           0.0078766,           0.0040158,          0.00051622,             0.00604,             0.00604,             0.00604
                  62,            0.020732,            0.011755,           0.0064463,              0.9584,             0.94945,             0.98167,             0.85425,            0.007836,            0.004008,          0.00051151,            0.005974,            0.005974,            0.005974
                  63,            0.020235,            0.011812,           0.0067784,             0.95745,              0.9547,             0.98194,             0.85232,           0.0078264,           0.0040052,          0.00051787,            0.005908,            0.005908,            0.005908
                  64,            0.019436,            0.011848,           0.0074066,             0.95687,             0.95554,             0.98294,             0.85296,           0.0077492,           0.0039946,          0.00050646,            0.005842,            0.005842,            0.005842
                  65,            0.020722,            0.011887,           0.0069943,             0.95384,             0.95317,             0.98246,             0.85362,           0.0077399,           0.0039809,           0.0005383,            0.005776,            0.005776,            0.005776
                  66,            0.019891,            0.011464,           0.0064624,             0.95395,             0.95907,             0.98341,             0.85523,            0.007639,           0.0039648,          0.00047822,             0.00571,             0.00571,             0.00571
                  67,            0.019563,             0.01152,           0.0062068,              0.9538,             0.95891,             0.98331,             0.85638,              0.0076,           0.0039763,          0.00047956,            0.005644,            0.005644,            0.005644
                  68,            0.019758,            0.011668,           0.0056221,             0.95673,             0.95814,              0.9834,             0.85881,           0.0075541,           0.0039433,          0.00046606,            0.005578,            0.005578,            0.005578
                  69,            0.019671,            0.011598,            0.005037,             0.95472,             0.96388,             0.98321,             0.86061,           0.0075259,           0.0039151,          0.00045007,            0.005512,            0.005512,            0.005512
                  70,            0.019457,             0.01141,           0.0058656,             0.95435,              0.9626,             0.98314,             0.86236,           0.0074836,           0.0039182,          0.00045501,            0.005446,            0.005446,            0.005446
                  71,            0.019453,            0.011429,           0.0059438,             0.95604,             0.95959,             0.98358,             0.86266,           0.0074465,           0.0039194,           0.0004305,             0.00538,             0.00538,             0.00538
                  72,              0.0189,            0.011636,           0.0058166,             0.95662,             0.95812,             0.98335,             0.86255,           0.0074829,           0.0039221,           0.0004274,            0.005314,            0.005314,            0.005314
                  73,            0.019542,            0.011506,           0.0061698,             0.95494,             0.95962,              0.9835,             0.86354,            0.007474,           0.0039196,          0.00043338,            0.005248,            0.005248,            0.005248
                  74,            0.019075,            0.011495,            0.006304,             0.95147,             0.96314,             0.98378,             0.86349,           0.0074826,           0.0039157,          0.00042127,            0.005182,            0.005182,            0.005182
                  75,            0.018765,            0.011364,           0.0058219,              0.9537,              0.9613,             0.98403,             0.86347,           0.0074723,           0.0039078,          0.00040269,            0.005116,            0.005116,            0.005116
                  76,            0.018655,            0.011503,           0.0059002,             0.95439,             0.96375,             0.98398,             0.86347,           0.0074808,           0.0038938,          0.00040669,             0.00505,             0.00505,             0.00505
                  77,            0.019283,            0.011434,           0.0056703,              0.9523,             0.96495,             0.98376,             0.86391,           0.0075019,           0.0038937,          0.00040863,            0.004984,            0.004984,            0.004984
                  78,            0.018404,            0.011258,           0.0058172,             0.95209,             0.96579,             0.98377,             0.86343,           0.0075112,           0.0038882,          0.00042599,            0.004918,            0.004918,            0.004918
                  79,            0.018948,            0.011402,           0.0051204,              0.9492,             0.96551,             0.98389,             0.86521,           0.0075051,           0.0038808,          0.00043283,            0.004852,            0.004852,            0.004852
                  80,            0.018474,            0.011454,           0.0056134,             0.95513,             0.96333,             0.98442,             0.86623,           0.0074853,            0.003875,           0.0004284,            0.004786,            0.004786,            0.004786
                  81,            0.018805,            0.011317,           0.0062454,             0.95607,             0.96241,             0.98476,              0.8668,           0.0074722,            0.003865,           0.0004276,             0.00472,             0.00472,             0.00472
                  82,            0.018613,            0.011194,           0.0062925,             0.95921,             0.96136,             0.98482,             0.86689,           0.0074537,           0.0038577,          0.00042426,            0.004654,            0.004654,            0.004654
                  83,            0.018443,             0.01123,           0.0053908,             0.96006,             0.96054,             0.98497,             0.86715,           0.0074306,           0.0038631,          0.00041469,            0.004588,            0.004588,            0.004588
                  84,            0.018469,            0.011158,           0.0053032,             0.95827,             0.95949,             0.98508,             0.86775,             0.00742,           0.0038618,          0.00041549,            0.004522,            0.004522,            0.004522
                  85,            0.018998,            0.011192,           0.0055239,             0.95671,             0.95989,               0.985,             0.86765,            0.007393,           0.0038583,          0.00041343,            0.004456,            0.004456,            0.004456
                  86,            0.018831,            0.011177,           0.0058564,             0.95547,             0.96307,             0.98523,             0.86815,           0.0073623,           0.0038529,          0.00040932,             0.00439,             0.00439,             0.00439
                  87,            0.017803,            0.011134,           0.0055874,             0.95732,             0.96172,             0.98527,             0.86829,           0.0073343,           0.0038492,          0.00040057,            0.004324,            0.004324,            0.004324
                  88,            0.017806,            0.011144,           0.0061803,             0.95652,             0.96202,              0.9854,             0.86961,           0.0073111,           0.0038435,          0.00039304,            0.004258,            0.004258,            0.004258
                  89,            0.018769,            0.011128,           0.0052109,             0.95761,             0.96173,             0.98551,              0.8699,           0.0073006,           0.0038414,          0.00038815,            0.004192,            0.004192,            0.004192
                  90,            0.018077,            0.011191,           0.0051151,             0.96345,              0.9598,             0.98558,             0.87013,           0.0072929,           0.0038417,          0.00038274,            0.004126,            0.004126,            0.004126
                  91,            0.017657,            0.011121,           0.0052188,              0.9623,             0.96133,             0.98559,             0.87014,           0.0072845,           0.0038376,          0.00037724,             0.00406,             0.00406,             0.00406
                  92,            0.018711,            0.011055,           0.0054834,             0.96256,             0.96146,             0.98561,              0.8703,           0.0072682,           0.0038295,          0.00037532,            0.003994,            0.003994,            0.003994
                  93,            0.017994,            0.011074,           0.0054675,               0.962,             0.96116,             0.98568,             0.87092,            0.007255,           0.0038188,           0.0003731,            0.003928,            0.003928,            0.003928
                  94,            0.017502,            0.010979,           0.0049902,             0.96277,             0.96189,             0.98574,             0.87143,           0.0072393,           0.0038082,          0.00037228,            0.003862,            0.003862,            0.003862
                  95,            0.018083,            0.011025,           0.0053395,              0.9636,             0.96207,             0.98586,              0.8717,           0.0072215,           0.0037991,           0.0003664,            0.003796,            0.003796,            0.003796
                  96,            0.017877,            0.011094,           0.0054084,             0.96417,             0.96175,             0.98604,             0.87206,           0.0072157,           0.0037912,          0.00036583,             0.00373,             0.00373,             0.00373
                  97,            0.018203,            0.011088,           0.0051014,             0.96533,             0.96105,             0.98621,             0.87232,           0.0072094,           0.0037878,          0.00036395,            0.003664,            0.003664,            0.003664
                  98,            0.018647,            0.011019,           0.0048903,             0.96572,             0.96089,             0.98638,             0.87254,           0.0071947,           0.0037829,          0.00036172,            0.003598,            0.003598,            0.003598
                  99,            0.017412,            0.010891,           0.0058832,             0.96504,             0.96254,             0.98653,             0.87327,           0.0071829,           0.0037797,          0.00035652,            0.003532,            0.003532,            0.003532
                 100,            0.016999,            0.010817,            0.004842,             0.96463,             0.96286,             0.98653,             0.87376,           0.0071749,           0.0037771,          0.00035448,            0.003466,            0.003466,            0.003466
                 101,            0.017264,            0.010783,           0.0046113,             0.96406,             0.96414,             0.98669,             0.87419,           0.0071694,           0.0037757,          0.00035152,              0.0034,              0.0034,              0.0034
                 102,            0.017512,            0.010828,           0.0050635,             0.96381,             0.96386,             0.98675,             0.87446,            0.007162,           0.0037745,          0.00034938,            0.003334,            0.003334,            0.003334
                 103,            0.016695,            0.010805,           0.0044327,             0.96376,             0.96482,              0.9868,             0.87465,           0.0071524,           0.0037718,          0.00034971,            0.003268,            0.003268,            0.003268
                 104,            0.017127,            0.010926,           0.0050795,             0.96368,             0.96461,             0.98695,              0.8752,           0.0071431,           0.0037685,          0.00034783,            0.003202,            0.003202,            0.003202
                 105,            0.016726,            0.010839,           0.0046951,             0.96396,             0.96449,             0.98695,              0.8753,           0.0071363,           0.0037641,          0.00034578,            0.003136,            0.003136,            0.003136
                 106,            0.017333,            0.010792,           0.0047452,             0.96355,             0.96541,             0.98694,             0.87564,           0.0071282,           0.0037634,          0.00034317,             0.00307,             0.00307,             0.00307
                 107,            0.017346,            0.010802,           0.0049799,             0.96146,             0.96697,             0.98704,             0.87609,           0.0071226,           0.0037597,           0.0003421,            0.003004,            0.003004,            0.003004
                 108,             0.01717,            0.010897,           0.0046599,             0.96166,             0.96711,             0.98706,             0.87606,           0.0071173,           0.0037564,          0.00034067,            0.002938,            0.002938,            0.002938
                 109,            0.017152,            0.010845,           0.0042342,             0.96176,             0.96743,             0.98711,             0.87629,            0.007114,           0.0037524,          0.00033911,            0.002872,            0.002872,            0.002872
                 110,            0.017285,            0.010702,           0.0046686,             0.96168,             0.96763,             0.98721,             0.87655,           0.0071075,           0.0037501,          0.00033502,            0.002806,            0.002806,            0.002806
                 111,            0.016743,            0.010769,           0.0042571,             0.96156,             0.96779,             0.98732,             0.87639,           0.0070965,           0.0037446,          0.00033422,             0.00274,             0.00274,             0.00274
                 112,             0.01714,            0.010699,           0.0046059,             0.96173,             0.96836,             0.98734,             0.87662,           0.0070882,           0.0037409,          0.00033118,            0.002674,            0.002674,            0.002674
                 113,            0.016235,            0.010533,           0.0044945,             0.96218,             0.96813,             0.98741,             0.87675,           0.0070824,           0.0037368,          0.00032861,            0.002608,            0.002608,            0.002608
                 114,            0.016897,            0.010645,           0.0043665,             0.96212,             0.96921,             0.98753,             0.87744,           0.0070752,           0.0037315,          0.00032552,            0.002542,            0.002542,            0.002542
                 115,            0.016083,            0.010419,           0.0044724,             0.96292,             0.96981,             0.98759,             0.87743,           0.0070634,           0.0037262,          0.00032162,            0.002476,            0.002476,            0.002476
                 116,            0.015934,            0.010452,           0.0042092,             0.96333,             0.96976,             0.98766,             0.87789,           0.0070545,           0.0037206,          0.00031861,             0.00241,             0.00241,             0.00241
