               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.015126,            0.010294,           0.0037823,              0.9555,             0.96823,             0.98622,             0.89251,           0.0058139,            0.003432,          0.00021394,           0.0057925,           0.0057925,           0.0057925
                  36,            0.015144,            0.010498,           0.0044295,             0.96595,             0.97002,             0.98697,             0.89675,           0.0055703,           0.0033348,           0.0002044,           0.0056688,           0.0056688,           0.0056688
                  37,            0.015185,            0.010235,           0.0036458,             0.96526,             0.97297,             0.98949,             0.89772,           0.0054875,           0.0032636,          0.00018597,            0.005545,            0.005545,            0.005545
                  38,            0.014831,            0.010265,           0.0040342,              0.9636,             0.97314,             0.98692,               0.894,           0.0056578,           0.0033531,          0.00019162,           0.0054212,           0.0054212,           0.0054212
                  39,            0.014557,           0.0099771,           0.0038754,             0.96596,             0.97747,             0.99055,             0.89986,            0.005519,           0.0032311,          0.00016269,           0.0052975,           0.0052975,           0.0052975
                  40,            0.014351,             0.01012,           0.0038058,             0.96979,             0.97528,             0.98948,             0.90141,           0.0056044,           0.0032773,          0.00013855,           0.0051737,           0.0051737,           0.0051737
                  41,            0.014808,            0.010148,           0.0035741,             0.96582,             0.97814,             0.98985,             0.90252,           0.0054293,           0.0032284,          0.00013085,             0.00505,             0.00505,             0.00505
                  42,             0.01517,            0.010193,           0.0039879,             0.96629,             0.97752,             0.98933,             0.90324,           0.0053756,           0.0032225,          0.00012909,           0.0049263,           0.0049263,           0.0049263
                  43,            0.014625,            0.010228,           0.0039857,             0.96727,              0.9797,              0.9897,             0.90054,           0.0053253,           0.0032185,          0.00014973,           0.0048025,           0.0048025,           0.0048025
                  44,            0.014661,            0.010091,           0.0036618,              0.9644,             0.97726,             0.98804,             0.90138,           0.0053653,              0.0033,          0.00012485,           0.0046788,           0.0046788,           0.0046788
                  45,            0.014127,            0.009996,           0.0039111,             0.97066,             0.97424,             0.98892,             0.90089,            0.005405,           0.0032865,          0.00014026,            0.004555,            0.004555,            0.004555
                  46,            0.014201,           0.0098696,           0.0037224,              0.9673,             0.98252,             0.99055,             0.90297,           0.0053531,           0.0031877,          0.00013105,           0.0044313,           0.0044313,           0.0044313
                  47,            0.014046,           0.0099703,           0.0033839,             0.96817,             0.98356,             0.98931,             0.90395,           0.0053411,           0.0031786,          0.00010277,           0.0043075,           0.0043075,           0.0043075
                  48,            0.014252,           0.0099143,            0.003634,             0.96888,             0.98162,             0.98991,             0.90761,           0.0052369,           0.0031699,          0.00013671,           0.0041837,           0.0041837,           0.0041837
                  49,            0.013907,           0.0099866,           0.0036043,              0.9654,               0.981,             0.98975,             0.90445,           0.0052802,           0.0032201,          0.00011287,             0.00406,             0.00406,             0.00406
                  50,            0.013493,           0.0098279,           0.0032358,             0.96567,             0.98223,             0.98942,             0.90318,           0.0052623,           0.0031576,          0.00011503,           0.0039362,           0.0039362,           0.0039362
                  51,            0.014274,           0.0099623,           0.0033782,             0.96841,             0.97998,             0.98906,             0.90805,           0.0052127,           0.0031589,          0.00012015,           0.0038125,           0.0038125,           0.0038125
                  52,             0.01409,           0.0098061,           0.0029628,             0.96935,             0.98196,             0.99029,             0.90869,           0.0051838,           0.0031313,          0.00010514,           0.0036888,           0.0036888,           0.0036888
                  53,            0.013906,           0.0096996,            0.003121,             0.96572,             0.98068,             0.98912,             0.90501,           0.0051411,           0.0031455,          0.00011237,            0.003565,            0.003565,            0.003565
