               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019045,            0.014539,           0.0019725,              0.6149,             0.66537,             0.68442,             0.32573,            0.028823,            0.010365,           0.0085979,            0.006535,            0.006535,            0.006535
                  37,            0.018901,            0.014044,           0.0022079,             0.60019,             0.64987,             0.65132,             0.29782,            0.028907,            0.011178,           0.0085832,            0.006436,            0.006436,            0.006436
                  38,            0.019635,            0.014187,           0.0023058,             0.59191,             0.64997,             0.63779,               0.293,            0.028943,            0.011136,           0.0090556,            0.006337,            0.006337,            0.006337
                  39,              0.0188,            0.014165,           0.0018765,               0.617,             0.68568,             0.66331,             0.30981,            0.028949,            0.010384,            0.010068,            0.006238,            0.006238,            0.006238
                  40,            0.018612,            0.014312,           0.0015921,             0.61495,             0.66803,             0.68472,             0.32704,            0.028726,            0.010412,           0.0069203,            0.006139,            0.006139,            0.006139
                  41,            0.018852,            0.013372,           0.0016022,             0.60519,             0.67314,             0.68916,              0.3234,            0.028482,            0.011088,           0.0068209,             0.00604,             0.00604,             0.00604
                  42,            0.018438,            0.013871,           0.0015255,             0.62293,             0.67455,             0.69696,             0.32634,             0.02886,            0.010787,           0.0070034,            0.005941,            0.005941,            0.005941
                  43,            0.018857,            0.013754,           0.0018953,             0.60945,             0.66375,             0.68466,              0.3172,             0.02912,            0.010421,           0.0086129,            0.005842,            0.005842,            0.005842
                  44,            0.018519,             0.01351,           0.0015685,             0.60724,             0.67589,              0.6888,             0.32381,            0.029334,             0.01026,           0.0083019,            0.005743,            0.005743,            0.005743
                  45,            0.018427,            0.013513,           0.0018482,             0.60695,             0.66971,             0.67228,             0.31409,            0.028749,           0.0098283,            0.008852,            0.005644,            0.005644,            0.005644
                  46,            0.017558,            0.013372,            0.001503,             0.61459,             0.68099,             0.69063,             0.32261,            0.028705,            0.010573,           0.0070128,            0.005545,            0.005545,            0.005545
                  47,            0.018133,            0.013625,           0.0013011,             0.60569,             0.67462,             0.66953,             0.31972,            0.028458,            0.010482,           0.0074025,            0.005446,            0.005446,            0.005446
                  48,            0.018034,            0.013348,           0.0015999,             0.60208,             0.67341,             0.69028,             0.32721,               0.029,            0.011103,           0.0074246,            0.005347,            0.005347,            0.005347
                  49,            0.018261,            0.013346,           0.0016556,             0.61991,             0.65813,             0.67343,             0.31704,            0.029242,            0.010457,            0.008473,            0.005248,            0.005248,            0.005248
                  50,            0.018102,            0.013381,           0.0018772,             0.59888,             0.65055,             0.67131,              0.3246,            0.028466,            0.010551,            0.009394,            0.005149,            0.005149,            0.005149
                  51,            0.017837,            0.013631,           0.0013438,             0.60946,             0.67496,              0.6763,             0.32119,            0.028963,            0.010778,           0.0094976,             0.00505,             0.00505,             0.00505
                  52,            0.017606,            0.013299,           0.0012657,             0.62113,             0.65217,             0.68208,             0.32396,            0.028799,            0.010668,           0.0085643,            0.004951,            0.004951,            0.004951
                  53,            0.017555,            0.013375,           0.0011079,             0.61557,             0.65431,             0.67033,             0.31778,            0.028436,             0.01065,           0.0087301,            0.004852,            0.004852,            0.004852
                  54,            0.017115,            0.012934,           0.0011959,             0.60344,             0.66487,             0.67238,             0.31908,            0.028499,            0.010771,           0.0080917,            0.004753,            0.004753,            0.004753
                  55,            0.017277,            0.013085,           0.0010909,             0.60224,             0.67556,              0.6761,             0.31898,            0.028617,            0.010491,           0.0087031,            0.004654,            0.004654,            0.004654
                  56,            0.017289,            0.013233,           0.0011132,             0.60852,             0.66776,             0.68487,             0.32876,            0.028482,            0.011484,           0.0092396,            0.004555,            0.004555,            0.004555
                  57,            0.016902,            0.013314,           0.0015049,             0.61257,             0.67146,             0.68223,             0.32756,            0.028884,            0.010677,           0.0090562,            0.004456,            0.004456,            0.004456
                  58,            0.016998,            0.013247,           0.0011421,             0.59968,             0.67625,              0.6748,             0.32306,            0.028872,            0.011611,           0.0090788,            0.004357,            0.004357,            0.004357
                  59,            0.016931,            0.013016,           0.0010685,             0.62172,              0.6692,             0.68335,             0.33422,            0.028846,            0.010596,           0.0087358,            0.004258,            0.004258,            0.004258
                  60,            0.016881,            0.012782,           0.0010214,             0.59543,             0.68069,             0.66539,             0.31073,            0.028583,            0.010563,           0.0086989,            0.004159,            0.004159,            0.004159
                  61,            0.017074,            0.013108,           0.0013889,               0.617,             0.67373,              0.6573,             0.30629,            0.028739,             0.01107,           0.0093591,             0.00406,             0.00406,             0.00406
                  62,            0.016547,            0.013264,           0.0011992,             0.60356,             0.66964,             0.66345,             0.31831,            0.028821,            0.010852,           0.0084833,            0.003961,            0.003961,            0.003961
                  63,            0.017037,            0.012907,           0.0015186,             0.61647,             0.66039,             0.68369,              0.3239,            0.029192,            0.010879,           0.0079019,            0.003862,            0.003862,            0.003862
                  64,            0.016772,            0.012686,           0.0013589,             0.61935,             0.67676,              0.6858,             0.32807,            0.028841,            0.011112,           0.0090211,            0.003763,            0.003763,            0.003763
                  65,            0.017131,            0.012657,           0.0010662,             0.62844,             0.67391,             0.69416,             0.32923,            0.028336,            0.011068,           0.0086407,            0.003664,            0.003664,            0.003664
                  66,            0.016427,            0.012598,           0.0013373,             0.62001,              0.6698,             0.69995,             0.33091,            0.028559,            0.011478,           0.0081657,            0.003565,            0.003565,            0.003565
                  67,            0.016638,            0.012916,           0.0011069,             0.61304,              0.6775,              0.6901,             0.32463,            0.028704,            0.010945,           0.0081546,            0.003466,            0.003466,            0.003466
                  68,            0.016421,            0.012487,           0.0011387,             0.60735,             0.66677,             0.68867,             0.32455,            0.028513,            0.011477,           0.0078781,            0.003367,            0.003367,            0.003367
                  69,            0.016408,            0.012554,          0.00082687,             0.61261,             0.67272,             0.69131,             0.33469,            0.028856,            0.011293,              0.0083,            0.003268,            0.003268,            0.003268
                  70,            0.016454,            0.012359,            0.001317,             0.60063,             0.66901,             0.68585,             0.32588,            0.028653,            0.011267,           0.0084856,            0.003169,            0.003169,            0.003169
                  71,            0.016443,            0.012858,            0.001057,             0.61312,             0.66739,             0.69163,             0.33698,            0.028745,             0.01125,            0.008574,             0.00307,             0.00307,             0.00307
                  72,            0.016174,            0.012574,          0.00097073,             0.61163,             0.66479,             0.68513,             0.33426,            0.028962,            0.011148,           0.0083562,            0.002971,            0.002971,            0.002971
                  73,            0.016391,            0.012389,          0.00095904,             0.61501,             0.67023,             0.69415,             0.33038,            0.028616,            0.011961,           0.0086333,            0.002872,            0.002872,            0.002872
                  74,            0.016061,            0.012749,           0.0010366,             0.62698,             0.66883,             0.69187,             0.32875,            0.028725,             0.01119,           0.0073756,            0.002773,            0.002773,            0.002773
                  75,            0.015702,            0.012432,           0.0011481,             0.62233,             0.66992,             0.69187,             0.32644,            0.028562,            0.011215,           0.0079943,            0.002674,            0.002674,            0.002674
                  76,            0.015848,            0.012537,           0.0009558,             0.62154,             0.67506,             0.69524,             0.34143,            0.028125,            0.011096,           0.0076185,            0.002575,            0.002575,            0.002575
                  77,             0.01573,             0.01258,          0.00074942,             0.61953,             0.67519,             0.67944,             0.33106,             0.02873,            0.010923,           0.0083781,            0.002476,            0.002476,            0.002476
                  78,            0.015429,            0.012389,          0.00075995,             0.61663,             0.67376,             0.67438,             0.32144,            0.028655,            0.011542,           0.0087796,            0.002377,            0.002377,            0.002377
                  79,            0.015616,            0.012759,          0.00070516,             0.61284,             0.67759,             0.67829,             0.32722,             0.02863,            0.011615,           0.0090483,            0.002278,            0.002278,            0.002278
                  80,            0.015672,            0.012501,          0.00082052,             0.62513,             0.68164,             0.67451,               0.326,            0.028376,            0.011707,           0.0092466,            0.002179,            0.002179,            0.002179
                  81,            0.015415,            0.012281,          0.00089379,             0.61418,             0.68094,             0.67493,             0.33389,            0.028333,            0.011388,           0.0099642,             0.00208,             0.00208,             0.00208
                  82,            0.015243,            0.012341,          0.00066292,             0.62197,             0.68058,             0.68647,             0.33962,            0.028447,            0.011687,           0.0089774,            0.001981,            0.001981,            0.001981
                  83,            0.015502,            0.012175,          0.00079799,             0.62069,              0.6852,             0.68382,             0.33245,            0.028302,            0.012045,           0.0089479,            0.001882,            0.001882,            0.001882
                  84,            0.015323,            0.012636,          0.00084838,              0.6122,             0.68167,             0.67195,             0.32155,            0.028543,            0.012121,           0.0088241,            0.001783,            0.001783,            0.001783
                  85,            0.015297,            0.012005,           0.0007866,             0.61951,             0.67828,             0.68022,             0.33261,            0.028382,            0.012276,           0.0087268,            0.001684,            0.001684,            0.001684
                  86,             0.01514,            0.012439,          0.00071656,              0.6184,             0.67701,             0.68847,             0.33672,            0.028389,            0.011518,           0.0087515,            0.001585,            0.001585,            0.001585
                  87,            0.015503,            0.012205,          0.00062309,             0.61939,             0.67333,             0.67834,              0.3326,            0.028381,             0.01167,           0.0087876,            0.001486,            0.001486,            0.001486
                  88,            0.015262,            0.011909,          0.00099699,             0.61032,             0.68433,             0.67028,             0.33091,            0.028499,            0.011903,           0.0091943,            0.001387,            0.001387,            0.001387
                  89,            0.014932,             0.01199,          0.00083461,             0.62262,             0.67648,             0.67822,             0.33238,            0.028755,            0.011706,           0.0093723,            0.001288,            0.001288,            0.001288
                  90,            0.015129,            0.012292,          0.00081803,             0.60459,             0.68368,              0.6754,             0.33058,            0.028678,            0.011679,           0.0092296,            0.001189,            0.001189,            0.001189
                  91,            0.015073,            0.011647,          0.00068793,             0.61668,             0.67575,             0.67243,             0.32711,            0.028634,            0.011891,           0.0096603,             0.00109,             0.00109,             0.00109
                  92,            0.015138,            0.011682,          0.00083399,             0.61355,             0.67829,             0.66377,             0.32544,            0.028557,            0.011892,            0.009898,            0.000991,            0.000991,            0.000991
                  93,            0.015142,            0.012181,          0.00085442,             0.61128,             0.67932,              0.6617,             0.32309,            0.028606,            0.012136,            0.010114,            0.000892,            0.000892,            0.000892
                  94,            0.014788,             0.01202,          0.00071578,             0.61603,             0.67472,             0.66373,             0.32677,            0.028595,            0.011857,            0.010211,            0.000793,            0.000793,            0.000793
                  95,            0.014838,            0.012053,          0.00057538,             0.61577,              0.6796,             0.67744,             0.33246,            0.028384,            0.012131,           0.0097872,            0.000694,            0.000694,            0.000694
                  96,            0.014689,            0.011916,          0.00061809,             0.61404,             0.67682,             0.67099,              0.3311,            0.028586,            0.011916,           0.0098372,            0.000595,            0.000595,            0.000595
                  97,            0.014765,            0.011822,          0.00071204,             0.61519,             0.67896,             0.66735,             0.33037,            0.028684,            0.012095,            0.010014,            0.000496,            0.000496,            0.000496
                  98,            0.014525,            0.011894,           0.0007802,             0.60878,             0.67881,             0.67366,             0.33257,            0.028569,            0.012221,           0.0097605,            0.000397,            0.000397,            0.000397
                  99,            0.014619,            0.011678,          0.00059659,             0.60904,             0.67791,             0.67225,             0.33137,            0.028641,            0.011912,             0.00962,            0.000298,            0.000298,            0.000298
